text,actual,predicted,actual_label,predicted_label,prob_normal,prob_toxic,correct
전문의 상담받으셔보길 추천드립니다,1,0,toxic,normal,0.581985,0.418015,False
정상적이네요,1,0,toxic,normal,0.5837146,0.4162854,False
동성애의 다수가 남성이며 핵심은 항문성관계입니다좁은 항문에 성관계를 하면 과연 괜찮을까요이걸 꼭 의학공부를 해야 아나요항문성관계가 괜찮으니까 권유해야하나요청소년과 청년들의 에이즈와 항문질환이 급증하고 있습니다 동성애의 보건적 위험성을 알려야만 합니다,1,0,toxic,normal,0.52822447,0.47177553,False
주민번호 t로 시작하게해줘 . 그래도 차별이라고 하겠지 정신병자들,1,0,toxic,normal,0.50000226,0.4999977,False
밖에서 대기타시길. 이준석이 깽판쳐서 결국 다 망쳐 놓으면 우린 안철수로 갈아탑니다.,1,0,toxic,normal,0.5016906,0.49830937,False
썩렬이는 알고싶지 않아요. 기대할 걸 해야지.,1,0,toxic,normal,0.5166112,0.4833888,False
폰여ㅋㅋ,1,0,toxic,normal,0.5560906,0.44390935,False
평소 걸렸던 부분들을 확실하게 짚어주시니 10년 묵은 체증이 좀 내려가는 것 같네요ㅠㅠ 이런 좋은 강연 진행하게 해주신 세바시와 강연해주신 위근우 기자님 정말 감사합니다..,1,0,toxic,normal,0.58439445,0.41560557,False
아프간으로 꺼져!,1,0,toxic,normal,0.5090191,0.4909809,False
"ㅋㅋㅋㅋㅋㅋㅋ그저 웃지요 아 물론, 씨유 경영진들이요 ㅋㅋㅋㅋㅋㅋ",1,0,toxic,normal,0.50692624,0.49307376,False
입속에 파리 들어갈라..,1,0,toxic,normal,0.5053919,0.49460807,False
"적극 지지한다. 우리도 미군철수하면 저렇게 될수있는 처지인데, 그때 난민이되어 거부된다면 심경이 어떻겠나..",1,0,toxic,normal,0.50198084,0.49801913,False
무턱대고 다 받아들일 수는 없다. 안타깝지만 그게 현실이다.,1,0,toxic,normal,0.57150185,0.42849812,False
트렌스젠더는 없다 ^남자^가 꾸미는 걸 좋아할뿐 자신이 게이라는 것과 꾸미는 것을 좋아한다는 것을 인정하라!!!!!,1,0,toxic,normal,0.5535061,0.4464939,False
스님 말씀이 좀 그러네요. 품격이 없고 좀 거만하네요. 좀 세련되게 했으면 합니다.,1,0,toxic,normal,0.5541737,0.44582626,False
